gene,pathway
MGP005034,"[('C', 'apolipoprotein B mRNA editing enzyme complex'), ('C', 'cytoplasm'), ('C', 'endoplasmic reticulum'), ('C', 'nucleoplasm'), ('F', 'nucleotide binding'), ('F', 'RNA binding'), ('F', 'single-stranded RNA binding'), ('P', 'cytidine to uridine editing'), ('P', 'gene expression'), ('P', 'mRNA modification'), ('P', 'mRNA processing'), ('P', 'protein stabilization')]"
MGP000001,"[('C', 'blood microparticle'), ('C', 'cytosol'), ('C', 'extracellular region'), ('C', 'extracellular vesicular exosome'), ('C', 'platelet alpha granule lumen'), ('F', 'calcium-dependent protein binding'), ('F', 'enzyme binding'), ('F', 'growth factor binding'), ('F', 'interleukin-1 binding'), ('F', 'interleukin-8 binding'), ('F', 'protease binding'), ('F', 'receptor binding'), ('F', 'serine-type endopeptidase inhibitor activity'), ('F', 'tumor necrosis factor binding'), ('P', 'blood coagulation'), ('P', 'blood coagulation, intrinsic pathway'), ('P', 'extracellular matrix disassembly'), ('P', 'extracellular matrix organization'), ('P', 'negative regulation of complement activation, lectin pathway'), ('P', 'negative regulation of endopeptidase activity'), ('P', 'platelet activation'), ('P', 'platelet degranulation'), ('P', 'regulation of small GTPase mediated signal transduction'), ('P', 'small GTPase mediated signal transduction'), ('P', 'stem cell differentiation')]"
MGP003452,"[('C', 'centrosome'), ('C', 'cytoplasm'), ('C', 'membrane'), ('C', 'nuclear envelope'), ('C', 'nuclear membrane'), ('C', 'nuclear pore'), ('C', 'nucleoplasm'), ('C', 'nucleus'), ('P', 'carbohydrate metabolic process'), ('P', 'cytokine-mediated signaling pathway'), ('P', 'fertilization'), ('P', 'glucose transport'), ('P', 'hexose transport'), ('P', 'learning'), ('P', 'mitotic cell cycle'), ('P', 'mitotic nuclear envelope disassembly'), ('P', 'mRNA transport'), ('P', 'nucleocytoplasmic transport'), ('P', 'protein transport'), ('P', 'regulation of glucose transport'), ('P', 'regulation of nucleocytoplasmic transport'), ('P', 'small molecule metabolic process'), ('P', 'transmembrane transport'), ('P', 'viral process')]"
MGP005134,"[('F', 'pyridoxal phosphate binding'), ('F', 'transaminase activity'), ('P', 'biosynthetic process')]"
MGP000004,"[('C', 'cytosol'), ('C', 'perinuclear region of cytoplasm'), ('F', 'aralkylamine N-acetyltransferase activity'), ('F', 'arylamine N-acetyltransferase activity'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'cellular response to cAMP'), ('P', 'circadian rhythm'), ('P', 'indolalkylamine biosynthetic process'), ('P', 'melatonin biosynthetic process'), ('P', 'N-terminal protein amino acid acetylation'), ('P', 'response to calcium ion'), ('P', 'response to copper ion'), ('P', 'response to corticosterone'), ('P', 'response to cytokine'), ('P', 'response to insulin'), ('P', 'response to light stimulus'), ('P', 'response to prostaglandin E'), ('P', 'response to zinc ion'), ('P', 'small molecule metabolic process')]"
MGP000005,"[('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('C', 'membrane'), ('F', 'alanine-tRNA ligase activity'), ('F', 'amino acid binding'), ('F', 'aminoacyl-tRNA editing activity'), ('F', 'ATP binding'), ('F', 'tRNA binding'), ('F', 'zinc ion binding'), ('P', 'alanyl-tRNA aminoacylation'), ('P', 'cerebellar Purkinje cell layer development'), ('P', 'endoplasmic reticulum unfolded protein response'), ('P', 'gene expression'), ('P', 'hair follicle development'), ('P', 'negative regulation of neuron apoptotic process'), ('P', 'neuromuscular process controlling balance'), ('P', 'protein folding'), ('P', 'response to amino acid'), ('P', 'tRNA aminoacylation for protein translation'), ('P', 'tRNA modification'), ('P', 'tRNA processing')]"
MGP005634,"[('C', 'mitochondrion'), ('F', 'alanine-tRNA ligase activity'), ('F', 'ATP binding'), ('F', 'tRNA binding'), ('F', 'zinc ion binding'), ('P', 'gene expression'), ('P', 'mitochondrial alanyl-tRNA aminoacylation'), ('P', 'mitochondrial respiratory chain complex assembly'), ('P', 'tRNA aminoacylation for protein translation')]"
MGP005719,"[('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('F', 'holo-[acyl-carrier-protein] synthase activity'), ('F', 'magnesium ion binding'), ('P', 'macromolecule biosynthetic process'), ('P', 'pantothenate metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'vitamin metabolic process'), ('P', 'water-soluble vitamin metabolic process')]"
MGP004145,"[('C', 'intracellular membrane-bounded organelle'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('F', 'saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity'), ('F', 'saccharopine dehydrogenase (NADP+, L-lysine-forming) activity'), ('P', 'cellular nitrogen compound metabolic process'), ('P', 'L-lysine catabolic process to acetyl-CoA via saccharopine'), ('P', 'lysine catabolic process'), ('P', 'protein tetramerization'), ('P', 'small molecule metabolic process')]"
MGP004871,"[('C', 'centrosome'), ('C', 'cytoplasm'), ('C', 'focal adhesion'), ('C', 'Golgi apparatus'), ('C', 'nucleolus'), ('C', 'nucleus'), ('F', 'leucine zipper domain binding'), ('F', 'poly(A) RNA binding'), ('F', 'sequence-specific DNA binding transcription factor activity'), ('P', 'apoptotic signaling pathway'), ('P', 'cell adhesion'), ('P', 'cellular response to DNA damage stimulus'), ('P', 'embryonic cleavage'), ('P', 'negative regulation of amyloid precursor protein biosynthetic process'), ('P', 'negative regulation of apoptotic process'), ('P', 'negative regulation of reactive oxygen species metabolic process'), ('P', 'negative regulation of superoxide anion generation'), ('P', 'neurotrophin TRK receptor signaling pathway'), ('P', 'positive regulation of apoptotic process'), ('P', 'positive regulation of transcription from RNA polymerase II promoter'), ('P', 'regulation of mitotic cell cycle'), ('P', 'ribosome biogenesis')]"
MGP000006,"[('C', '4-aminobutyrate transaminase complex'), ('C', 'extracellular vesicular exosome'), ('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('C', 'neuron projection'), ('F', '4-aminobutyrate transaminase activity'), ('F', 'protein homodimerization activity'), ('F', 'pyridoxal phosphate binding'), ('F', '(S)-3-amino-2-methylpropionate transaminase activity'), ('F', 'succinate-semialdehyde dehydrogenase binding'), ('P', 'behavioral response to cocaine'), ('P', 'copulation'), ('P', 'gamma-aminobutyric acid catabolic process'), ('P', 'locomotory behavior'), ('P', 'negative regulation of blood pressure'), ('P', 'neurotransmitter catabolic process'), ('P', 'neurotransmitter secretion'), ('P', 'response to drug'), ('P', 'response to ethanol'), ('P', 'response to hypoxia'), ('P', 'response to iron ion'), ('P', 'response to nicotine'), ('P', 'synaptic transmission')]"
MGP000007,"[('C', 'endocytic vesicle'), ('C', 'external side of plasma membrane'), ('C', 'Golgi apparatus'), ('C', 'high-density lipoprotein particle'), ('C', 'integral component of plasma membrane'), ('C', 'membrane raft'), ('C', 'perinuclear region of cytoplasm'), ('C', 'phagocytic vesicle'), ('C', 'plasma membrane'), ('F', 'anion transmembrane transporter activity'), ('F', 'apolipoprotein A-I binding'), ('F', 'apolipoprotein A-I receptor activity'), ('F', 'apolipoprotein binding'), ('F', 'ATPase activity'), ('F', 'ATPase binding'), ('F', 'ATP binding'), ('F', 'cholesterol binding'), ('F', 'cholesterol transporter activity'), ('F', 'phospholipid binding'), ('F', 'phospholipid transporter activity'), ('F', 'receptor binding'), ('F', 'small GTPase binding'), ('F', 'syntaxin binding'), ('P', 'apolipoprotein A-I-mediated signaling pathway'), ('P', 'cellular lipid metabolic process'), ('P', 'cellular response to cholesterol'), ('P', 'cellular response to lipopolysaccharide'), ('P', 'cellular response to retinoic acid'), ('P', 'cholesterol efflux'), ('P', 'cholesterol homeostasis'), ('P', 'cholesterol metabolic process'), ('P', 'endosomal transport'), ('P', 'G-protein coupled receptor signaling pathway'), ('P', 'high-density lipoprotein particle assembly'), ('P', 'interleukin-1 beta secretion'), ('P', 'intracellular cholesterol transport'), ('P', 'lipoprotein metabolic process'), ('P', 'lysosome organization'), ('P', 'negative regulation of cholesterol storage'), ('P', 'negative regulation of macrophage derived foam cell differentiation'), ('P', 'peptide secretion'), ('P', 'phagocytosis, engulfment'), ('P', 'phospholipid efflux'), ('P', 'phospholipid homeostasis'), ('P', 'phospholipid translocation'), ('P', 'platelet dense granule organization'), ('P', 'positive regulation of cAMP biosynthetic process'), ('P', 'positive regulation of cholesterol efflux'), ('P', 'protein lipidation'), ('P', 'regulation of Cdc42 protein signal transduction'), ('P', 'response to drug'), ('P', 'response to laminar fluid shear stress'), ('P', 'response to low-density lipoprotein particle'), ('P', 'response to nutrient'), ('P', 'reverse cholesterol transport'), ('P', 'small molecule metabolic process')]"
MGP004207,"[('C', 'integral component of membrane'), ('F', 'ATPase activity'), ('F', 'ATP binding'), ('P', 'transport')]"
MGP004816,"[('C', 'cytoplasm'), ('C', 'cytosol'), ('C', 'epidermal lamellar body'), ('C', 'integral component of membrane'), ('C', 'mitochondrial inner membrane'), ('C', 'plasma membrane'), ('F', 'apolipoprotein A-I receptor binding'), ('F', 'ATP binding'), ('F', 'lipid transporter activity'), ('F', 'lipid-transporting ATPase activity'), ('F', 'receptor binding'), ('P', 'cellular homeostasis'), ('P', 'ceramide transport'), ('P', 'establishment of skin barrier'), ('P', 'keratinization'), ('P', 'lipid homeostasis'), ('P', 'lipid transport'), ('P', 'lung alveolus development'), ('P', 'phospholipid efflux'), ('P', 'positive regulation of cholesterol efflux'), ('P', 'positive regulation of protein localization to cell surface'), ('P', 'protein localization to plasma membrane'), ('P', 'regulated secretory pathway'), ('P', 'secretion by cell'), ('P', 'surfactant homeostasis')]"
MGP000008,"[('C', 'ATP-binding cassette (ABC) transporter complex'), ('C', 'cytoplasmic membrane-bounded vesicle'), ('C', 'endosome'), ('C', 'endosome membrane'), ('C', 'integral component of membrane'), ('C', 'lysosomal membrane'), ('C', 'lysosome'), ('C', 'membrane'), ('C', 'microtubule organizing center'), ('F', 'ATPase activity'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'nucleotide binding'), ('P', 'ATP catabolic process'), ('P', 'cholesterol homeostasis'), ('P', 'lipid metabolic process'), ('P', 'regulation of intracellular cholesterol transport'), ('P', 'regulation of transcription from RNA polymerase II promoter'), ('P', 'response to drug'), ('P', 'response to steroid hormone'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP000010,"[('C', 'integral component of plasma membrane'), ('C', 'membrane'), ('C', 'photoreceptor disc membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'phospholipid-translocating ATPase activity'), ('F', 'transporter activity'), ('P', 'phospholipid transfer to membrane'), ('P', 'photoreceptor cell maintenance'), ('P', 'phototransduction, visible light'), ('P', 'retinoid metabolic process'), ('P', 'transmembrane transport'), ('P', 'transport'), ('P', 'visual perception')]"
MGP004678,"[('C', 'integral component of membrane'), ('F', 'ATPase activity'), ('F', 'ATP binding'), ('P', 'transport')]"
MGP004206,"[('C', 'apical plasma membrane'), ('C', 'ATP-binding cassette (ABC) transporter complex'), ('C', 'cell surface'), ('C', 'cytoplasm'), ('C', 'endosome membrane'), ('C', 'Golgi apparatus'), ('C', 'Golgi membrane'), ('C', 'integral component of membrane'), ('C', 'phagocytic cup'), ('C', 'plasma membrane'), ('C', 'ruffle membrane'), ('F', 'apolipoprotein A-I receptor activity'), ('F', 'ATPase activity'), ('F', 'ATP binding'), ('F', 'phospholipid transporter activity'), ('F', 'transporter activity'), ('P', 'apolipoprotein A-I-mediated signaling pathway'), ('P', 'ATP catabolic process'), ('P', 'cholesterol efflux'), ('P', 'high-density lipoprotein particle assembly'), ('P', 'memory'), ('P', 'negative regulation of amyloid precursor protein biosynthetic process'), ('P', 'negative regulation of ATPase activity'), ('P', 'negative regulation of beta-amyloid formation'), ('P', 'peptide cross-linking'), ('P', 'phagocytosis'), ('P', 'phospholipid efflux'), ('P', 'phospholipid scrambling'), ('P', 'positive regulation of ATPase activity'), ('P', 'positive regulation of beta-amyloid clearance'), ('P', 'positive regulation of cholesterol efflux'), ('P', 'positive regulation of engulfment of apoptotic cell'), ('P', 'positive regulation of ERK1 and ERK2 cascade'), ('P', 'positive regulation of phagocytosis'), ('P', 'positive regulation of phospholipid efflux'), ('P', 'protein localization to nucleus'), ('P', 'transmembrane transport')]"
MGP004209,"[('C', 'integral component of membrane'), ('C', 'mitochondrial inner membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP004208,"[('C', 'integral component of membrane'), ('C', 'mitochondrion'), ('F', 'ATPase activity'), ('F', 'ATP binding'), ('P', 'transport')]"
MGP002268,"[('C', 'cell surface'), ('C', 'extracellular vesicular exosome'), ('C', 'integral component of membrane'), ('C', 'membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'transporter activity'), ('F', 'xenobiotic-transporting ATPase activity'), ('P', 'drug transmembrane transport'), ('P', 'G2/M transition of mitotic cell cycle'), ('P', 'response to drug'), ('P', 'small molecule metabolic process'), ('P', 'stem cell proliferation'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP004677,"[('C', 'integral component of mitochondrial membrane'), ('C', 'mitochondrial inner membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'transporter activity'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP003629,"[('C', 'apical part of cell'), ('C', 'extracellular vesicular exosome'), ('C', 'integral component of membrane'), ('C', 'integral component of plasma membrane'), ('C', 'intercellular canaliculus'), ('C', 'membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'bile acid-exporting ATPase activity'), ('F', 'canalicular bile acid transmembrane transporter activity'), ('F', 'sodium-exporting ATPase activity, phosphorylative mechanism'), ('F', 'transporter activity'), ('P', 'bile acid and bile salt transport'), ('P', 'bile acid biosynthetic process'), ('P', 'bile acid metabolic process'), ('P', 'canalicular bile acid transport'), ('P', 'small molecule metabolic process'), ('P', 'sodium ion transmembrane transport'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP002269,"[('C', 'extracellular vesicular exosome'), ('C', 'integral component of membrane'), ('C', 'integral component of plasma membrane'), ('C', 'intercellular canaliculus'), ('C', 'membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'xenobiotic-transporting ATPase activity'), ('P', 'cellular lipid metabolic process'), ('P', 'lipid metabolic process'), ('P', 'response to drug'), ('P', 'small molecule metabolic process'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP007009,"[('C', 'integral component of plasma membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'efflux transmembrane transporter activity'), ('P', 'antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent'), ('P', 'antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent'), ('P', 'antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent'), ('P', 'cell differentiation'), ('P', 'compound eye corneal lens development'), ('P', 'positive regulation of antigen processing and presentation of peptide antigen via MHC class I'), ('P', 'regulation of membrane potential'), ('P', 'transmembrane transport')]"
MGP004105,"[('C', 'ATP-binding cassette (ABC) transporter complex'), ('C', 'endoplasmic reticulum'), ('C', 'endosome'), ('C', 'extracellular vesicular exosome'), ('C', 'Golgi apparatus'), ('C', 'integral component of mitochondrial outer membrane'), ('C', 'mitochondrial envelope'), ('C', 'mitochondrial outer membrane'), ('C', 'mitochondrion'), ('C', 'plasma membrane'), ('F', 'ATP binding'), ('F', 'efflux transmembrane transporter activity'), ('F', 'heme binding'), ('F', 'heme transporter activity'), ('F', 'heme-transporting ATPase activity'), ('P', 'brain development'), ('P', 'cellular iron ion homeostasis'), ('P', 'heme transport'), ('P', 'porphyrin-containing compound biosynthetic process'), ('P', 'skin development'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP000009,"[('C', 'integral component of membrane'), ('C', 'mitochondrial inner membrane'), ('C', 'mitochondrion'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'heme transporter activity'), ('P', 'cellular iron ion homeostasis'), ('P', 'heme transport'), ('P', 'small molecule metabolic process'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP004478,"[('C', 'ATP-binding cassette (ABC) transporter complex'), ('C', 'integral component of membrane'), ('C', 'membrane'), ('C', 'mitochondrial envelope'), ('C', 'mitochondrial inner membrane'), ('C', 'mitochondrion'), ('C', 'nucleolus'), ('C', 'nucleus'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'transporter activity'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP001961,"[('C', 'extracellular vesicular exosome'), ('C', 'integral component of plasma membrane'), ('C', 'membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'transporter activity'), ('P', 'arachidonic acid metabolic process'), ('P', 'ATP catabolic process'), ('P', 'cobalamin metabolic process'), ('P', 'leukotriene metabolic process'), ('P', 'response to drug'), ('P', 'small molecule metabolic process'), ('P', 'transmembrane transport'), ('P', 'transport'), ('P', 'vitamin metabolic process'), ('P', 'water-soluble vitamin metabolic process')]"
MGP006217,"[('C', 'integral component of membrane'), ('C', 'lysosomal membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('P', 'transmembrane transport')]"
MGP006200,"[('C', 'extracellular vesicular exosome'), ('C', 'integral component of plasma membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'organic anion transmembrane transporter activity'), ('F', 'purine nucleotide transmembrane transporter activity'), ('P', 'organic anion transport'), ('P', 'purine nucleotide transport'), ('P', 'transmembrane transport')]"
MGP000606,"[('C', 'apical plasma membrane'), ('C', 'cell surface'), ('C', 'integral component of plasma membrane'), ('C', 'intercellular canaliculus'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'organic anion transmembrane transporter activity'), ('P', 'cellular chloride ion homeostasis'), ('P', 'drug transmembrane transport'), ('P', 'prostaglandin transport'), ('P', 'response to arsenic-containing substance'), ('P', 'response to estrogen'), ('P', 'response to heat'), ('P', 'response to methotrexate'), ('P', 'response to oxidative stress'), ('P', 'thyroid hormone transport'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP003659,"[('C', 'integral component of plasma membrane'), ('C', 'membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'organic anion transmembrane transporter activity'), ('P', 'bile acid and bile salt transport'), ('P', 'bile acid metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP004181,"[('C', 'basolateral plasma membrane'), ('C', 'integral component of membrane'), ('C', 'membrane'), ('C', 'plasma membrane'), ('C', 'platelet dense granule membrane'), ('F', '15-hydroxyprostaglandin dehydrogenase (NAD+) activity'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('P', 'blood coagulation'), ('P', 'oxidation-reduction process'), ('P', 'platelet activation'), ('P', 'platelet degranulation'), ('P', 'positive regulation of smooth muscle cell proliferation'), ('P', 'response to drug'), ('P', 'response to organic cyclic compound'), ('P', 'response to organonitrogen compound'), ('P', 'transmembrane transport')]"
MGP004104,"[('C', 'integral component of plasma membrane'), ('C', 'membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'organic anion transmembrane transporter activity'), ('P', 'carbohydrate metabolic process'), ('P', 'glycosaminoglycan metabolic process'), ('P', 'hyaluronan biosynthetic process'), ('P', 'hyaluronan metabolic process'), ('P', 'organic anion transport'), ('P', 'small molecule metabolic process'), ('P', 'transmembrane transport'), ('P', 'transport')]"
MGP000190,"[('C', 'apical plasma membrane'), ('C', 'basolateral plasma membrane'), ('C', 'endoplasmic reticulum membrane'), ('C', 'integral component of membrane'), ('C', 'lateral plasma membrane'), ('C', 'plasma membrane'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'transporter activity'), ('P', 'response to drug'), ('P', 'transmembrane transport'), ('P', 'transport'), ('P', 'visual perception')]"
MGP003028,"[('C', 'plasma membrane'), ('C', 'voltage-gated potassium channel complex'), ('F', 'ATPase activity, coupled to transmembrane movement of substances'), ('F', 'ATP binding'), ('F', 'ion channel binding'), ('F', 'potassium ion transmembrane transporter activity'), ('F', 'sulfonylurea receptor activity'), ('P', 'carbohydrate metabolic process'), ('P', 'energy reserve metabolic process'), ('P', 'potassium ion transmembrane transport'), ('P', 'potassium ion transport'), ('P', 'regulation of insulin secretion'), ('P', 'signal transduction'), ('P', 'small molecule metabolic process'), ('P', 'synaptic transmission'), ('P', 'transmembrane transport')]"
